hbt,pp,ba,fu,pr,om
D,5.689504733,21.88576317,2.284669866,1.142334933,6.87098322
D,28.83,72.93,13.005,0,32.985
D,15.20035227,30.60763756,13.21416272,0,8.593270894
D,4.430000001,39.3,2.215,0,8.785
D,11.43332089,75.948768,5.690404493,0,28.50453438
D,1.392951663,19.06925302,0,0,2.72044403
D,52.95,39.695,38.845,7.06,42.315
D,14.41804825,41.19422356,20.22592903,16.31022462,26.20509167
D,3.521337629,16.75313484,0,0.892697733,3.521337626
D,29.91302729,25.80175593,11.53233083,1.71556013,30.91322322
D,21.89867168,58.56604382,21.60752216,16.33096655,33.6442312
D,3.69205055,16.48499579,6.656883553,0,0
D,20.70168339,85.41305842,26.90954786,7.4943886,16.91077663
D,6.464297565,18.56459536,3.585855631,0,4.39084363
D,3.754123149,18.75412315,2.96572832,0,2.295333943
D,26.22,45.67833333,7.985,0,2.815
D,4.015,37.96,11.795,0,2.635
D,1.525,30.255,4.71,0,4.71
D,7.444129727,41.54868185,12.40308785,0.854481757,6.891025673
D,4.10531764,15,1.259763165,0,8.818342145
D,4.64035578,21.21416755,7.703933116,1.573811773,10.89506308
D,43.885,31.315,16.4,0,21.81
D,8.352151627,16.17082309,7.390614394,0,2.36771118
D,17.10105365,81.52329994,22.38915352,9.242517586,45.46654995
D,16.53671729,29.60666151,14.98791824,1.167542323,5.933274004
D,2.93169159,35.71256809,4.691170784,1.759479193,7.173358187
D,4.28,23.555,7.28,0,7.28
D,6.45,61.435,12.295,0,3.075
D,5.023304863,42.3165891,8.091162867,2.635046113,9.13942162
D,1.235788435,28.53991742,2.47157687,1.235788435,3.7073653
D,1.32380196,16.32380196,1.283697045,1.32380196,9.106194065
D,4.597701146,61.2016123,0,0,21.66870317
D,22.34666667,30.93333333,7.436666667,0.936666667,12.14666667
S,53.27,33.575,14.04,2.775,22.42
S,19.63093834,19.63093835,0,0,11.77856301
S,2.3304591,3.86720199,0,0,0
S,3.17,3.17,1.56,1.56,3.22
S,1.285,6.34,6.21,0,3.765
S,2.321736883,2.284156607,8.48589191,0,0
S,2.530920883,17.93582131,10.24374634,0.850557113,7.613513113
S,6.23304523,10.8131979,6.10687025,0,1.65289256
S,5.045,8.22,4.76,0,8.225
S,9.744118103,14.56005592,9.148521367,2.023267577,8.955664802
S,14.945,38.455,14.14,0,0
S,16.3073775,17.67662935,7.870997773,1.88005264,3.869141726
S,42.51853974,106.9408954,54.82797042,7.545744687,33.91862185
S,14.23184813,110.3542723,27.16275497,6.859872686,69.24860501
S,4.1300073,16.5200292,9.572006195,0,5.441998905
S,13.95703953,37.58728212,8.184924529,3.81338766,16.69168021
S,28.38,67.925,24.33,0,19.26
S,2.13401622,51.26318239,8.750615126,1.281558373,12.16618974
S,5.731731166,5.207281986,7.781594613,1.46810541,10.40776887
S,8.787426674,8.645149934,3.08948158,0.821018063,1.535405833
S,3.676470584,13.38434502,8.520325846,3.055721564,14.0949071
S,22.09,12.82,10.01333333,0,16.17
S,3.378062947,11.72647765,8.45315523,0,27.9305753
S,5.055,12.83,3.79,0,2.525
S,5.938676435,8.15606021,5.938676435,0,1.93199382
S,0.824266403,0.824266403,0.824266403,0.82487833,2.467734903
S,27.3040716,44.43167528,30.98170204,3.106554834,25.69710376
S,4.21674393,18.99088848,14.34596824,2.853417413,6.89551375
S,3.64,1.215,2.43,0,2.025
S,23.17410229,23.35957764,32.00839609,2.361133043,17.57167729
